Keyword,TEDLIUM_SampleID,TED_TALK_ID,TEDLIUM_SET,MSWC_AudioID,start_time,end_time,confidence
started,44,train,adversarial_44,started/common_voice_en_549860.opus,424.098875,424.5594375,0.958627808029237
positive,29,train,adversarial_29,positive/common_voice_en_22306148.opus,279.06725,279.56825,0.9922987937927246
have,60,train,adversarial_60,have/common_voice_en_510497.opus,538.76325,538.9035625,0.9778848886489868
ending,81,train,adversarial_81,ending/common_voice_en_21489203.opus,127.273,127.5540625,0.995389299733298
what,63,train,adversarial_63,what/common_voice_en_17515582.opus,14.5449375,14.726625,0.3725894335657358
orlando,7,train,adversarial_7,orlando/common_voice_en_20636101.opus,55.597375,55.982062500000005,0.9732034990662024
person,48,train,adversarial_48,person/common_voice_en_21877557.opus,447.4231875,447.7841875,0.9479733026689954
was,41,train,adversarial_41,was/common_voice_en_19804520.opus,402.12725,402.2874375,0.8677406242350116
words,59,train,adversarial_59,words/common_voice_en_18828663.opus,524.6985625,525.0995,0.909364732355156
sympathy,21,train,adversarial_21,sympathy/common_voice_en_566140.opus,135.752375,136.2535,0.7417127114534378
much,56,train,adversarial_56,much/common_voice_en_17283399.opus,503.5235625,503.7848125,0.9230308115365916
touch,24,train,adversarial_24,touch/common_voice_en_60499.opus,174.51831249999998,174.7794375,0.7543689132914432
was,27,train,adversarial_27,was/common_voice_en_19151943.opus,221.2443125,221.4245625,0.6334101990812795
because,0,train,adversarial_0,because/common_voice_en_97853.opus,15.03125,15.4988125,0.9345536711423292
heard,19,train,adversarial_19,heard/common_voice_en_555425.opus,124.304875,124.5455625,0.8963917620761398
was,72,train,adversarial_72,was/common_voice_en_41963.opus,54.3340625,54.434250000000006,0.7870288416743279
and,14,train,adversarial_14,and/common_voice_en_76622.opus,95.9255,96.005625,0.9996344596147536
grew,89,train,adversarial_89,grew/common_voice_en_21722053.opus,172.3413125,172.58206249999998,0.9999232490857444
guinea,65,train,adversarial_65,guinea/common_voice_en_20229215.opus,24.1188125,24.3991875,0.8521344223325806
not,91,train,adversarial_91,not/common_voice_en_21061118.opus,183.0530625,183.2944375,0.9980292866627376
did,42,train,adversarial_42,did/common_voice_en_637526.opus,405.330375,405.4705,0.9998129946844918
argued,70,train,adversarial_70,argued/common_voice_en_55160.opus,46.962375,47.2233125,0.9308162274268956
about,23,train,adversarial_23,about/common_voice_en_16320.opus,146.044875,146.3684375,0.8798965741881718
that,6,train,adversarial_6,that/common_voice_en_159071.opus,48.431625,48.611875,0.915252125925488
changing,85,train,adversarial_85,changing/common_voice_en_48107.opus,154.8965,155.4185625,0.950734867546375
starting,36,train,adversarial_36,starting/common_voice_en_18436940.opus,374.613375,374.9945625,0.999800443649292
forever,51,train,adversarial_51,forever/common_voice_en_23458.opus,473.8125,474.1529375,0.9205447514267528
was,25,train,adversarial_25,was/common_voice_en_543350.opus,194.8036875,194.9239375,0.9997405509154002
the,5,train,adversarial_5,the/common_voice_en_170359.opus,45.55675,45.677875,0.9629616240660348
spoke,13,train,adversarial_13,spoke/common_voice_en_567506.opus,89.958375,90.25875,0.9397936676939328
way,80,train,adversarial_80,way/common_voice_en_611440.opus,123.7664375,123.947,0.9999077187644112
private,37,train,adversarial_37,private/common_voice_en_20947610.opus,380.08025,380.4411875,0.9531528221236336
save,33,train,adversarial_33,save/common_voice_en_18096960.opus,357.9734375,358.3154375,0.967383489889257
and,88,train,adversarial_88,and/common_voice_en_19658259.opus,167.29943749999998,167.562875,0.6336117765081914
counts,11,train,adversarial_11,counts/common_voice_en_22225218.opus,79.4350625,79.7384375,0.9291820406913758
defining,92,train,adversarial_92,defining/common_voice_en_18765567.opus,188.396125,188.8970625,0.9717235088348388
her,26,train,adversarial_26,her/common_voice_en_17889295.opus,207.003,207.0831875,0.9996240586042404
son,2,train,adversarial_2,son/common_voice_en_21291553.opus,29.20825,29.5095,0.9475236038366952
was,10,train,adversarial_10,was/common_voice_en_80083.opus,76.62806250000001,76.8483125,0.9997696768153798
your,76,train,adversarial_76,your/common_voice_en_28218.opus,83.8694375,83.9899375,0.7827266242044667
not,30,train,adversarial_30,not/common_voice_en_127693.opus,316.9405625,317.08075,0.9139490893908908
from,54,train,adversarial_54,from/common_voice_en_21103506.opus,495.3695,495.5503125,0.5138887580898073
and,71,train,adversarial_71,and/common_voice_en_18733096.opus,49.635875000000006,49.799125,0.5356888435795701
knew,17,train,adversarial_17,knew/common_voice_en_59007.opus,117.741625,117.86225,0.9610880613327026
and,66,train,adversarial_66,and/common_voice_en_18618627.opus,25.48725,25.71075,0.7997512925763214
knew,18,train,adversarial_18,knew/common_voice_en_509252.opus,119.703625,119.8644375,0.8751806005020626
for,77,train,adversarial_77,for/common_voice_en_19858805.opus,89.5143125,89.7146875,0.938961210846901
who,74,train,adversarial_74,who/common_voice_en_19296915.opus,74.2781875,74.3985,0.9373448888460796
time,38,train,adversarial_38,time/common_voice_en_17756269.opus,389.1621875,389.4646875,0.9995691418647766
hop,100,train,adversarial_100,hop/common_voice_en_20747027.opus,237.4855625,237.7466875,0.9058851760167342
have,83,train,adversarial_83,have/common_voice_en_106316.opus,143.3009375,143.461625,0.8187116764020175
now,22,train,adversarial_22,now/common_voice_en_17844054.opus,143.65525,143.8358125,0.9998457365565828
about,57,train,adversarial_57,about/common_voice_en_21129625.opus,506.023375,506.484875,0.9996999864992888
same,90,train,adversarial_90,same/common_voice_en_54640.opus,178.144,178.4045,0.9293331165726368
sat,43,train,adversarial_43,sat/common_voice_en_605516.opus,415.3003125,415.58175,0.9370138293930462
lunch,50,train,adversarial_50,lunch/common_voice_en_650034.opus,470.6535,470.9554375,0.9238044182467344
recent,86,train,adversarial_86,recent/common_voice_en_419370.opus,158.0866875,158.4075625,0.961759489029646
called,68,train,adversarial_68,called/common_voice_en_20786749.opus,34.833375000000004,35.234500000000004,0.961813859641552
conspiracy,12,train,adversarial_12,conspiracy/common_voice_en_21399617.opus,79.91068750000001,80.65575,0.9726988412880312
sorry,46,train,adversarial_46,sorry/common_voice_en_17377995.opus,434.68125,435.1021875,0.999910865511213
what,47,train,adversarial_47,what/common_voice_en_640010.opus,440.744,440.8644375,0.8372952581072847
hours,4,train,adversarial_4,hours/common_voice_en_15734576.opus,41.8550625,42.055875,0.9998756408691406
they,34,train,adversarial_34,they/common_voice_en_19021027.opus,361.573,361.693375,0.9751770993073782
experiments,67,train,adversarial_67,experiments/common_voice_en_20783637.opus,29.0040625,29.7690625,0.9735766900220718
two,3,train,adversarial_3,two/common_voice_en_19410683.opus,34.8063125,34.9466875,0.8779200634786061
have,55,train,adversarial_55,have/common_voice_en_579391.opus,499.216125,499.71775,0.8815331153065239
family,40,train,adversarial_40,family/common_voice_en_21686779.opus,394.0865625,394.47025,0.9997064220277888
like,64,train,adversarial_64,like/common_voice_en_20816333.opus,16.5998125,16.7621875,0.9386339113116264
tell,62,train,adversarial_62,tell/common_voice_en_583266.opus,12.5958125,12.7775,0.9754228856828476
muslim,31,train,adversarial_31,muslim/common_voice_en_20735467.opus,336.84825,337.3490625,0.8738038072365687
bibles,99,train,adversarial_99,bibles/common_voice_en_21797378.opus,231.437375,231.8393125,0.8984844301827252
life,53,train,adversarial_53,life/common_voice_en_317049.opus,490.743375,490.9839375,0.9864599754412968
the,78,train,adversarial_78,the/common_voice_en_17296906.opus,96.2045625,96.4649375,0.8019657478882716
living,87,train,adversarial_87,living/common_voice_en_18152582.opus,165.586375,165.8670625,0.9297049497919424
during,75,train,adversarial_75,during/common_voice_en_18674136.opus,78.63981249999999,78.8805625,0.9687429616848628
those,39,train,adversarial_39,those/common_voice_en_580739.opus,391.87225,392.21375,0.9292072434635724
got,20,train,adversarial_20,got/common_voice_en_18352465.opus,127.4410625,127.6424375,0.8992541249084752
there,84,train,adversarial_84,there/common_voice_en_17441676.opus,147.595,147.775375,0.7941750205231215
saw,8,train,adversarial_8,saw/common_voice_en_516989.opus,59.896687500000006,60.1973125,0.8701558423005432
explosion,9,train,adversarial_9,explosion/common_voice_en_32548.opus,66.43168750000001,67.0535625,0.9371803312322065
the,1,train,adversarial_1,the/common_voice_en_207024__2.opus,16.621125,16.741375,0.8363568310936292
this,94,train,adversarial_94,this/common_voice_en_20078321.opus,201.7224375,201.8826875,0.9993215277791024
for,69,train,adversarial_69,for/common_voice_en_18166101__2.opus,41.927,42.1273125,0.9160280659794808
when,15,train,adversarial_15,when/common_voice_en_17531555.opus,103.4401875,103.5805625,0.8686639134372983
young,32,train,adversarial_32,young/common_voice_en_22175668.opus,342.6091875,342.8496875,0.8389000569795231
front,35,test,adversarial_35,front/common_voice_en_19483554.opus,368.8228125,368.963,0.4006139753120286